name,attack,attribute,defense,has_materials,has_name_condition,is_extra_deck,is_fusion,is_link,is_pendulum,is_synchro,is_xyz,link_markers,link_number,materials,monster_types,name_condition,number,pendulum_left,pendulum_right,pendulum_text,Type,stars,text
3-Hump Lacooda,500,EARTH,1500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,86988864,,,,Beast,3,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards."
"30,000-Year White Turtle",1250,WATER,2100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,11714098,,,,Aqua,5,"A huge turtle that has existed for more than 30,000 years."
4-Starred Ladybug of Doom,800,WIND,1200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"['Flip', 'Effect']",,83994646,,,,Insect,3,FLIP: Destroy all Level 4 monsters your opponent controls.
7 Colored Fish,1800,WATER,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,23771716,,,,Fish,4,A rare rainbow fish that has never been caught by mortal man.
8-Claws Scorpion,300,DARK,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,14261867,,,,Insect,2,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only."
A Cat of Ill Omen,500,DARK,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,24140059,,,,Beast,2,"FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected card to your hand instead."
A Man with Wdjat,1600,DARK,1600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,51351302,,,,Spellcaster,4,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position."
A-Assault Core,1900,LIGHT,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"['Union', 'Effect']",,30012506,,,,Machine,4,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can add 1 other Union monster from your Graveyard to your hand."
A-Team: Trap Disposal Unit,300,FIRE,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,13026402,,,,Machine,2,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it."
A-to-Z-Dragon Buster Cannon,4000,LIGHT,4000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""","['Fusion', 'Effect']",,65172015,,,,Machine,10,"Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them."
